code,system
J20.8,icd10
J20.9,icd10
J04,icd10
J05,icd10
J02.8,icd10
J00,icd10
J02.9,icd10
P37.8,icd10
P23.9,icd10
P23.8,icd10
P37.9,icd10
A63.8,icd10
A64,icd10
J44.0,icd10
J22,icd10
M46.3,icd10
M46.4,icd10
L30.3,icd10
A08.5,icd10
P39,icd10
N34,icd10
A09,icd10
H75.0,icd10
H70,icd10
I98.1,icd10
G02.8,icd10
G94.0,icd10
I43.0,icd10
N77.1,icd10
M01.8,icd10
N08.0,icd10
N77.0,icd10
G63.0,icd10
N29.1,icd10
I40.0,icd10
I41.2,icd10
G08,icd10
H60,icd10
H62.3,icd10
H62.4,icd10
H10,icd10
H19.2,icd10
H13.1,icd10
B99,icd10
I30.1,icd10
I32.1,icd10
G05.2,icd10
G04.8,icd10
G04.9,icd10
G07,icd10
G06,icd10
N30.0,icd10
N30.8,icd10
N30.9,icd10
J01,icd10
I33.0,icd10
A81.8,icd10
A81.9,icd10
L08.8,icd10
L08.9,icd10
M63.2,icd10
M60.0,icd10
J44.1,icd10
M02,icd10
M03,icd10
K75.0,icd10
K77.0,icd10
B94.9,icd10
B94.8,icd10
N16.0,icd10
N10,icd10
J03.8,icd10
J03.9,icd10
H65,icd10
J85,icd10
H66,icd10
H67.8,icd10
H73.0,icd10
H73.1,icd10
A41.8,icd10
A41.9,icd10
N48.1,icd10
M46.5,icd10
M49.3,icd10
J06,icd10
G53.1,icd10
A81.0,icd10
J16.8,icd10
J17.8,icd10
J18,icd10
L08.0,icd10